# index, name, _pos
0,1   ,"array([ -1.08421434, -14.52706919])"
1,2   ,"array([ -1.10084825, -14.61116848])"
2,35  ,"array([ -0.80979899, -14.57827585])"
3,36  ,"array([ -0.76398087, -14.63041543])"
4,46  ,"array([ -0.90526962, -14.71756934])"
5,5   ,"array([ -1.06590141, -14.77990961])"
6,Id  ,"array([ -0.75804287, -14.48976102])"
7,VP  ,"array([ -0.89784185, -15.0477952 ])"
8,3a  ,"array([ -1.18535077, -14.51798649])"
9,3b  ,"array([ -1.07933082, -14.39410312])"
10,4   ,"array([ -1.19169885, -14.60709267])"
11,6   ,"array([ -1.01025831, -14.68175589])"
12,7a  ,"array([ -0.94340623, -14.79058042])"
13,7b  ,"array([ -1.01002212, -14.74733976])"
14,AITd,"array([ -0.67648536, -14.82220376])"
15,AITv,"array([ -0.56171075, -14.86598899])"
16,CITd,"array([ -0.48089488, -14.9850262 ])"
17,CITv,"array([ -0.6554131 , -14.91080855])"
18,DP  ,"array([ -1.06801687, -14.88451009])"
19,FEF ,"array([ -0.90169167, -14.82495826])"
20,FST ,"array([ -0.83622235, -14.91889262])"
21,Ig  ,"array([ -0.89900257, -14.62526526])"
22,LIP ,"array([ -0.89462983, -14.89282415])"
23,MDP ,"array([ -1.2900574 , -14.94869217])"
24,MIP ,"array([ -1.20936185, -14.85367221])"
25,MSTd,"array([ -0.94876677, -14.92358478])"
26,MSTl,"array([ -1.01697934, -14.93809383])"
27,MT  ,"array([ -0.98098701, -14.99640899])"
28,PIP ,"array([ -1.04487115, -15.06498283])"
29,PITd,"array([ -0.60226695, -15.0836522 ])"
30,PITv,"array([ -0.61279512, -14.98479116])"
31,PO  ,"array([ -1.07435833, -14.97485723])"
32,Ri  ,"array([ -0.92617397, -14.51258888])"
33,SII ,"array([ -0.99672385, -14.56665672])"
34,SMA ,"array([ -1.16740627, -14.70541565])"
35,STPa,"array([ -0.6428336 , -14.66560668])"
36,STPp,"array([ -0.82774602, -14.74426488])"
37,TF  ,"array([ -0.79276238, -14.81008053])"
38,TH  ,"array([ -0.73573425, -14.74571188])"
39,V1  ,"array([ -0.84370304, -15.1022632 ])"
40,V2  ,"array([ -0.90322907, -14.98155079])"
41,V3  ,"array([ -0.83658874, -15.01969832])"
42,V3A ,"array([ -0.97316219, -15.07352314])"
43,V4  ,"array([ -0.78080814, -14.97399603])"
44,V4t ,"array([ -0.92555187, -15.13810335])"
45,VIP ,"array([ -0.98874188, -14.86947566])"
46,VOT ,"array([ -0.73019284, -15.17711498])"
