label,nodes,edges,density,mean_degree,max_degree,degree_var,diameter,char_path,efficiency,avg_clustering,transitivity,n_triangles,mean_betweenness,max_betweenness,betweenness_centralization,lambda_1,lambda_2,spectral_gap,spectral_radius,assortativity,sigma,omega,modularity_Q,n_communities,rich_club_k1,rich_club_k2,rich_club_k5
TOL_10,10,22,0.4888888888888889,4.4,8,1.8399999999999999,3,1.5777777777777777,0.7333333333333332,0.675952380952381,0.5714285714285714,16,0.07222222222222222,0.3842592592592592,0.08667695473010259,4.7368685847147525,2.5596334428924306,2.177235141822322,4.7368685847147525,-0.2047619047619059,1.4073084259189412,-0.38007377598926906,0.24690082644628097,2,0.4888888888888889,0.4888888888888889,
TOL_11,11,25,0.45454545454545453,4.545454545454546,9,2.611570247933884,3,1.6181818181818182,0.715151515151515,0.6904040404040404,0.5533980582524272,19,0.06868686868686869,0.425925925925926,0.08732510287871789,4.980664391596793,2.826651078140738,2.1540133134560553,4.980664391596793,-0.26516102049351753,1.4977114527177258,-0.16752733325767033,0.24879999999999994,3,0.45454545454545453,0.45454545454545453,
QLI_10,10,22,0.4888888888888889,4.4,8,1.8399999999999999,3,1.5777777777777777,0.7333333333333332,0.675952380952381,0.5714285714285714,16,0.07222222222222222,0.3842592592592592,0.08667695473010259,4.7368685847147525,2.5596334428924306,2.177235141822322,4.7368685847147525,-0.2047619047619059,1.4073084259189412,-0.38007377598926906,0.24690082644628097,2,0.4888888888888889,0.4888888888888889,
QLI_11,11,25,0.45454545454545453,4.545454545454546,9,2.611570247933884,3,1.6181818181818182,0.715151515151515,0.6904040404040404,0.5533980582524272,19,0.06868686868686869,0.425925925925926,0.08732510287871789,4.980664391596793,2.826651078140738,2.1540133134560553,4.980664391596793,-0.26516102049351753,1.4977114527177258,-0.16752733325767033,0.24879999999999994,3,0.45454545454545453,0.45454545454545453,
JOINED_edge,20,54,0.28421052631578947,5.4,9,1.8400000000000003,4,2.0210526315789474,0.5938596491228078,0.40055555555555555,0.375,32,0.056725146198830415,0.2128817413905133,0.01826392926207833,5.736868584714745,3.7368685847147436,2.0000000000000018,5.736868584714745,-0.027012127894158897,1.2011028736923515,0.2615740740740742,0.3657407407407407,3,0.28421052631578947,0.28421052631578947,0.6
JOINED_node,21,50,0.23809523809523808,4.761904761904762,9,2.5623582766439914,6,2.5619047619047617,0.5153968253968259,0.647089947089947,0.5302325581395348,38,0.08220551378446116,0.5263157894736842,0.04908587257591894,5.244483155938744,4.736868584714735,0.5076145712240097,5.244483155938744,-0.17086834733893594,2.3573043949167185,-0.2911226503543728,0.4626,4,0.23809523809523808,0.23809523809523808,0.6666666666666666
JACOBS,40,91,0.11666666666666667,4.55,8,1.5475,15,5.8,0.30902672825749616,0.6009523809523809,0.5423728813559322,64,0.12631578947368421,0.5128205128205128,0.020863952677263535,4.83061814128372,4.7820118157604785,0.04860632552324162,4.83061814128372,-0.20347355003186823,2.603056485248982,-0.5650021753470028,0.7170027774423379,4,0.11666666666666667,0.11666666666666667,0.0
BRAIN_10,21,48,0.22857142857142856,4.571428571428571,16,7.673469387755102,4,1.980952380952381,0.5809523809523814,0.4746031746031746,0.30952380952380953,26,0.05162907268170426,0.6560902255639098,0.06680886426557636,5.773484159860667,3.5305957833178456,2.242888376542821,5.773484159860667,-0.23510971786833834,2.410853732831192,0.24889855514855508,0.3194444444444444,4,0.22857142857142856,0.2573099415204678,0.6666666666666666
BRAIN_10nb,20,41,0.21578947368421053,4.1,6,1.29,4,2.263157894736842,0.5350877192982465,0.11333333333333333,0.12857142857142856,6,0.07017543859649122,0.19037028598432107,0.01405787688738327,4.455892692782294,2.863096588506859,1.5927961042754353,4.455892692782294,0.020700636942671373,0.5201977004318195,0.7232041343669251,0.3221296847114813,4,0.21578947368421053,0.24836601307189543,1.0
BRAIN_34,69,370,0.1577152600170503,10.72463768115942,31,21.79374081075404,4,2.424978687127025,0.4938547882921258,0.3981389375088436,0.3813793103448276,553,0.02126833861383619,0.5615821390796537,0.016365957959668588,13.320545078400114,11.01704108034898,2.3035039980511343,13.320545078400114,-0.059000243154418944,2.0640036293410797,0.24030265259586503,0.47252008765522274,3,0.1577152600170503,0.16154521510096576,0.20205686630369027
